Connecting to /dev/ttyUSB1 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
83723,2000,3.97,-0.5,0.2,3.7
83875,2000,3.975,-0.6,0.0,3.5
84027,2000,3.978,-0.5,0.1,3.2
84179,2000,3.98,-0.5,0.1,2.9
84331,2000,3.982,-0.4,0.1,2.5
84483,2000,3.984,-0.3,0.0,2.3
84635,2000,3.984,-0.1,-0.2,2.2
84786,2000,3.981,0.2,-0.3,2.1
84938,2000,3.979,0.5,-0.3,2.1
85090,2000,3.981,0.7,-0.3,2.4
85241,2000,3.983,0.7,-0.6,2.9
85393,2000,3.985,0.9,-0.9,3.4
85545,2000,3.986,1.0,-0.9,4.0
85697,2000,3.984,1.0,-1.0,4.6
85849,2000,3.982,1.0,-1.2,5.3
86001,2000,3.983,1.0,-1.3,5.8
86152,2000,3.983,1.3,-1.3,6.3
86304,2000,3.983,1.4,-1.2,6.8
86456,2000,3.982,1.5,-1.2,7.1
86608,2000,3.981,1.5,-1.3,7.3
86759,2000,3.981,1.5,-1.3,7.4
86911,2000,3.982,1.4,-1.2,7.3
87063,2000,3.982,1.6,-0.9,7.0
87214,2000,3.985,1.6,-0.7,6.6
87366,2000,3.986,1.6,-0.6,6.1
87518,2000,3.988,1.5,-0.6,5.5
87670,2000,3.989,1.4,-0.7,4.8
87821,2000,3.99,1.2,-0.7,4.3
87973,2000,3.991,0.9,-0.7,3.8
88125,2000,3.99,0.8,-0.7,3.6
88276,2000,3.988,1.0,-0.7,3.6
88428,2000,3.986,1.0,-0.7,3.8
88580,2000,3.984,1.0,-0.7,4.2
88732,2000,3.981,0.7,-0.6,4.7
88884,2000,3.978,0.5,-0.7,5.1
89035,2000,3.973,0.3,-0.8,5.5
89239,2000,4.026,0.8,-0.7,6.1
89391,2000,4.033,-1.3,-1.3,4.5
89543,2000,4.038,-1.1,-1.2,4.8
89695,2000,4.041,-0.7,-1.0,5.7
89847,2000,4.046,-0.5,-0.8,6.8
89998,2000,4.048,-0.3,-0.7,8.0
90150,2000,4.049,-0.7,-0.8,9.1
90302,2000,4.046,-0.8,-1.1,9.8
90454,2000,4.043,-0.9,-0.9,10.0
90605,2000,4.038,-0.7,-0.4,9.8
90757,2000,4.032,-0.4,-0.2,9.4
